Id,Name,Latitude,Longitude
1,Budapest,47.4925,19.0514
2,Debrecen,47.5300,21.6392
3,Székesfehérvár,47.1956,18.4089
4,Győr,47.6842,17.6344
5,Szeged,46.2550,20.1450
6,Nyíregyháza,47.9531,21.7271
7,Kecskemét,46.9061,19.6897
8,Miskolc,48.0833,20.6667
9,Szombathely,47.2351,16.6219
10,Pécs,46.0708,18.2331
11,Veszprém,47.0930,17.9138
12,Kaposvár,46.3638,17.7823
13,Sopron,47.6849,16.5831
14,Érd,47.3784,18.9220
15,Szolnok,47.1747,20.1965
16,Tatabánya,47.5862,18.3949
17,Békéscsaba,46.6790,21.0910
18,Zalaegerszeg,46.8392,16.8511
19,Eger,47.8990,20.3747
20,Nagykanizsa,46.4550,16.9925
21,Dunaújváros,46.9806,18.9127
22,Dunakeszi,47.6303,19.1412
23,Hódmezővásárhely,46.4304,20.3188
24,Szigetszentmiklós,47.3456,19.0483
25,Cegléd,47.1743,19.8020
26,Baja,46.1833,18.9536
27,Mosonmagyaróvár,47.8737,17.2687
28,Vác,47.7752,19.1310
29,Salgótarján,48.1040,19.8075
30,Gödöllő,47.6000,19.3667
31,Ózd,48.2192,20.2869
32,Szekszárd,46.3560,18.7038
33,Pápa,47.3237,17.4680
34,Budaörs,47.4607,18.9580
35,Gyöngyös,47.7833,19.9333
36,Esztergom,47.7856,18.7403
37,Ajka,47.1006,17.5522
38,Szentendre,47.7044,19.0686
39,Siófok,46.9239,18.0901
40,Kazincbarcika,48.2531,20.6456
41,Gyál,47.3861,19.2192
42,Dunaharaszti,47.3539,19.0948
43,Tata,47.6526,18.3238
44,Komló,46.1912,18.2613
45,Vecsés,47.4057,19.2648
46,Göd,47.6906,19.1344
47,Fót,47.6181,19.1903
48,Veresegyház,47.6505,19.2830
49,Hatvan,47.6681,19.6697
50,Gyömrő,47.4250,19.3977
51,Komárom,47.7403,18.1244
52,Várpalota,47.1989,18.1376
53,Keszthely,46.7696,17.2481
54,Monor,47.3475,19.4489
55,Szigethalom,47.3154,19.0078
56,Békés,46.7667,21.1333
57,Százhalombatta,47.3004,18.9136
58,Dombóvár,46.3820,18.1422
59,Oroszlány,47.4833,18.3167
60,Pomáz,47.6431,19.0196
61,Mohács,45.9959,18.6798
62,Pécel,47.4893,19.3354
63,Mátészalka,47.9500,22.3167
64,Mezőkövesd,47.8167,20.5833
65,Kisvárda,48.2167,22.0833
66,Kalocsa,46.5335,18.9858
67,Budakeszi,47.5123,18.9281
68,Sárvár,47.2500,16.9333
69,Tapolca,46.8828,17.4081
70,Biatorbágy,47.4712,18.8252
71,Tiszaújváros,47.9333,21.0833
72,Pilisvörösvár,47.6211,18.9108
73,Törökbálint,47.4367,18.9122
74,Balassagyarmat,48.0786,19.2942
75,Sátoraljaújhely,48.4000,21.6667
76,Kerepestarcsa,47.5478,19.2634
77,Hajdúsámson,47.6000,21.7667
78,Albertirsa,47.2400,19.6067
79,Bonyhád,46.3006,18.5309
80,Balatonfüred,46.9500,17.8833
81,Gárdony,47.1973,18.6091
82,Hajdúhadház,47.6833,21.6667
83,Üllő,47.3854,19.3439
84,Maglód,47.4439,19.3526
85,Nagykáta,47.4120,19.7396
86,Bicske,47.4907,18.6363
87,Kőszeg,47.3819,16.5522
88,Pilis,47.2844,19.5435
89,Dorog,47.7194,18.7292
90,Nyírbátor,47.8333,22.1333
91,Halásztelek,47.3608,18.9878
92,Sajószentpéter,48.2169,20.7183
93,Budakalász,47.6215,19.0460
94,Isaszeg,47.5333,19.4000
95,Diósd,47.4042,18.9458
96,Bátonyterenye,47.9906,19.8309
97,Körmend,47.0110,16.6058
98,Tolna,46.4236,18.7903
99,Ráckeve,47.1608,18.9456
100,Solymár,47.5910,18.9290
101,Celldömölk,47.2557,17.1491
102,Tököl,47.3203,18.9671
103,Szigetvár,46.0475,17.7994
104,Tárnok,47.3597,18.8586
105,Nagyatád,46.2227,17.3643
106,Csömör,47.5500,19.2333
107,Balatonalmádi,47.0333,18.0167
108,Edelény,48.2967,20.7442
109,Siklós,45.8519,18.2986
110,Piliscsaba,47.6167,18.8333
111,Erdőkertes,47.6667,19.3167
112,Dunavarsány,47.2781,19.0672
113,Nagykovácsi,47.5800,18.8800
114,Szerencs,48.1622,21.2050
115,Győrújbarát,47.6079,17.6464
116,Sándorfalva,46.3684,20.1144
117,Üröm,47.6000,19.0167
118,Páty,47.5167,18.8333
119,Fehérgyarmat,47.9850,22.5172
120,Őrbottyán,47.6833,19.2667
121,Tura,47.6067,19.5967
122,Mogyoród,47.6000,19.2500
123,Nyergesújfalu,47.7568,18.5487
124,Füzesabony,47.7510,20.4090
125,Velence,47.2418,18.6479
126,Zirc,47.2633,17.8725
127,Kozármisleny,46.0280,18.2920
128,Felsőzsolca,48.1087,20.8556
129,Taksony,47.3333,19.0833
130,Téglás,47.7167,21.6833
131,Putnok,48.2936,20.4367
132,Nagyecsed,47.8667,22.4000
133,Aszód,47.6545,19.4800
134,Szentlőrinc,46.0422,17.9856
135,Martfů,47.0169,20.2839
136,Tápiószecső,47.4500,19.6000
137,Szada,47.6333,19.3167
138,Encs,48.3307,21.1219
139,Nagytarcsa,47.5258,19.2862
140,Tahitófalu,47.7522,19.0781
141,Tápiószele,47.3333,19.8833
142,Martonvásár,47.3140,18.7885
143,Kartal,47.6667,19.5500
144,Balatonboglár,46.7667,17.6667
145,Zsámbék,47.5483,18.7186
146,Délegyháza,47.2500,19.0667
147,Lőrinci,47.7333,19.6833
148,Rákóczifalva,47.0931,20.2289
149,Tát,47.7407,18.6447
150,Szikszó,48.1950,20.9461
151,Nagymaros,47.7906,18.9565
152,Mikepércs,47.4500,21.6333
153,Harkány,45.8476,18.2369
154,Nyékládháza,47.9917,20.8369
155,Onga,48.1190,20.9074
156,Lábatlan,47.7480,18.4875
157,Sződliget,47.7333,19.1500
158,Hévíz,46.7923,17.1850
159,Balatonfůzfő,47.0639,18.0390
160,Inárcs,47.2667,19.3333
161,Nyúl,47.5813,17.6807
162,Kótaj,48.0500,21.7167
163,Telki,47.5500,18.8333
164,Tab,46.7327,18.0356
165,Ceglédbercel,47.2225,19.6664
166,Záhony,48.4069,22.1744
167,Pilisszentiván,47.6167,18.9000
168,Mende,47.4167,19.4500
169,Szirmabesenyő,48.1496,20.7958
170,Hernád,47.1633,19.4053
171,Mályi,48.0167,20.8333
172,Pannonhalma,47.5468,17.7499
173,Ecser,47.4444,19.3260
174,Pilisborosjenő,47.6167,19.0000
175,Tokod,47.7299,18.6745
176,Leányfalu,47.7267,19.0894
177,Sződ,47.7167,19.2000
178,Tokaj,48.1200,21.4100
179,Bóly,45.9673,18.5182
180,Vámosszabadi,47.7667,17.6500
181,Bag,47.6357,19.4837
182,Felsőpakony,47.3500,19.2500
183,Gyenesdiás,46.7707,17.2930
184,Bük,47.3845,16.7509
185,Ajak,48.1833,22.0333
186,Csobánka,47.6425,18.9678
187,Nyírpazony,47.9833,21.8000
188,Tuzsér,48.3358,22.1203
189,Herend,47.1333,17.7500
190,Vértesszőlős,47.6188,18.3803
191,Abda,47.6951,17.5419
192,Cserszegtomaj,46.8061,17.2312
193,Hévizgyörk,47.6316,19.5200
194,Gönyů,47.7333,17.8333
195,Csolnok,47.6935,18.7130
196,Kakucs,47.2500,19.3667
197,Múcsony,48.2687,20.6819
198,Harka,47.6333,16.6000
199,Pilisszántó,47.6698,18.8867
200,Sásd,46.2544,18.1058
201,Herceghalom,47.4971,18.7452
202,Sajólád,48.0436,20.9030
203,Sajóbábony,48.1742,20.7373
204,Sárisáp,47.6747,18.6810
205,Rétság,47.9296,19.1367
206,Andornaktálya,47.8444,20.4117
207,Forró,48.3242,21.0880
208,Répcelak,47.4211,17.0184
209,Pócsmegyer,47.7167,19.1000
210,Úrhida,47.1306,18.3319
211,Petőfibánya,47.7667,19.7167
212,Péteri,47.3833,19.4167
213,Szigetcsép,47.2667,18.9833
214,Verőcemaros,47.8333,19.0333
215,Kisbocskaykert,47.6423,21.6583
216,Győrújfalu,47.7224,17.6084
217,Szigetszentmárton,47.2333,18.9667
218,Kaposmérő,46.3601,17.7024